Date,Dog_ID,Daily_Steps,Heart_Rate_BPM,Rest_Time_Hours,Sleep_Pattern_Hours,Active_Time_Hours,Calories_Burned,Mood_Score,Outdoor_Time_Hours,Activity_Intensity,Rest_Efficiency,Energy_Expenditure_Rate,Outdoor_to_Active_Ratio,Mood_Stability_Index,Fatigue_Index,Latitude,Longitude,Distance_Travelled,Location_Change_Frequency,Weather_Condition,Temperature_C,Area_Type
1/8/2024,Dog_4,19371,119,5.56,13.97,4.37,774.84,4,3.14,4432.723112,0.397995705,177.3089245,0.718535469,2.666666667,991.858679,40.74394989,-73.99237116,4017.944199,1,Sunny,27.77020419,Urban
1/9/2024,Dog_4,17589,71,7.35,13.06,7.58,703.56,5,2.65,2320.448549,0.562787136,92.81794195,0.349604222,4,861.7834395,40.73948274,-73.9893285,558.6891775,1,Rainy,30.19287656,Urban
1/10/2024,Dog_4,10158,68,5.67,11.6,2.75,406.32,3,3.82,3693.818182,0.488793103,147.7527273,1.389090909,4,588.1876086,40.70979,-74.00758693,3640.31542,1,Windy,16.0173965,Suburban
1/11/2024,Dog_4,4154,79,9.32,12.24,6.42,166.16,6,5.25,647.0404984,0.761437908,25.88161994,0.817757009,4.666666667,192.6716141,40.74218742,-73.97635558,4461.512177,1,Rainy,4.773597631,Urban
1/12/2024,Dog_4,15183,111,4.5,7.29,7.85,607.32,5,2.01,1934.140127,0.617283951,77.3656051,0.256050955,4.666666667,1287.78626,40.65884925,-73.9565633,9404.50514,1,Snowy,-0.482271664,Rural
1/13/2024,Dog_4,12637,99,7.64,6.07,2.31,505.48,3,5.67,5470.562771,1.258649094,218.8225108,2.454545455,4.666666667,921.7359592,40.66959829,-73.95744315,1195.969219,1,Snowy,-1.512821287,Rural
1/14/2024,Dog_4,5557,84,7.98,6.04,6.09,222.28,6,4.45,912.4794745,1.321192053,36.49917898,0.730706076,4.666666667,396.3623395,40.65452273,-74.00491606,4349.55248,1,Snowy,23.76309789,Rural
1/15/2024,Dog_4,17207,105,7.29,11.54,4.81,688.28,6,5.12,3577.338877,0.631715771,143.0935551,1.064449064,5,913.8077536,40.68253303,-74.0386762,4221.821361,1,Sunny,11.80474911,Rural
1/1/2024,Dog_5,16992,95,8.27,7.9,5.48,679.68,8,3.78,3100.729927,1.046835443,124.0291971,0.689781022,8,1050.834879,40.68886773,-73.95151588,0,0,Snowy,31.21439497,Rural
1/2/2024,Dog_5,6987,115,7.9,12.79,2.51,279.48,2,4.9,2783.665339,0.617670055,111.3466135,1.952191235,5,337.6993717,40.6771349,-73.96611019,1794.358162,1,Windy,24.58685203,Rural
1/3/2024,Dog_5,7735,92,7.26,10.07,2.26,309.4,1,1.08,3422.566372,0.720953327,136.9026549,0.477876106,3.666666667,446.3358338,40.73287375,-74.03753373,8645.518974,1,Rainy,2.650416717,Urban
1/4/2024,Dog_5,15757,114,5.5,10.72,6,630.28,4,5.09,2626.166667,0.513059701,105.0466667,0.848333333,2.333333333,971.4549938,40.68567533,-73.95791581,8528.625187,1,Cloudy,19.55109675,Rural
1/5/2024,Dog_5,17565,104,6.92,13.25,6.94,702.6,7,1.2,2530.979827,0.522264151,101.2391931,0.172910663,4,870.8477938,40.67809345,-73.96301036,945.7120649,1,Windy,12.42021818,Rural
1/6/2024,Dog_5,19609,80,7.02,10.62,6.69,784.36,10,5.45,2931.091181,0.661016949,117.2436472,0.814648729,7,1111.621315,40.70426961,-73.99811619,4153.898026,1,Windy,18.08998923,Suburban
1/7/2024,Dog_5,12151,92,5.17,11.78,5.26,486.04,3,5.96,2310.076046,0.438879457,92.40304183,1.133079848,6.666666667,716.8731563,40.66409242,-73.99087246,4503.41509,1,Snowy,24.52276493,Rural
1/8/2024,Dog_5,15946,63,4.15,11.16,2.6,637.84,3,2.47,6133.076923,0.371863799,245.3230769,0.95,5.333333333,1041.541476,40.7302197,-74.01009973,7520.97032,1,Sunny,27.24783524,Urban
1/9/2024,Dog_5,11208,103,9.64,13.63,6.13,448.32,5,2.05,1828.384992,0.70726339,73.13539967,0.334420881,3.666666667,481.6501934,40.65745506,-74.04452384,8588.266438,1,Rainy,28.74949306,Rural
1/10/2024,Dog_5,6444,65,6.22,6.12,3.45,257.76,5,4.83,1867.826087,1.016339869,74.71304348,1.4,4.333333333,522.2042139,40.74868869,-74.01648028,10404.84179,1,Sunny,5.158994983,Urban
1/11/2024,Dog_5,6420,108,7.32,10.58,7.47,256.8,10,2.27,859.437751,0.691871456,34.37751004,0.303882195,6.666666667,358.6592179,40.72722448,-73.96971466,4613.602207,1,Rainy,-3.755376003,Urban
1/12/2024,Dog_5,3699,92,4.45,8.45,7.03,147.96,3,5.33,526.173542,0.526627219,21.04694168,0.758179232,6,286.744186,40.66987157,-74.0495368,9277.746183,1,Rainy,24.57178941,Rural
1/13/2024,Dog_5,5975,82,5.61,9.88,6.26,239,9,1.51,954.4728435,0.567813765,38.17891374,0.241214058,7.333333333,385.7327308,40.65055221,-74.01665008,3512.413354,1,Sunny,-0.74625095,Rural
1/14/2024,Dog_5,4816,101,9.62,11.57,7.69,192.64,4,1.63,626.2678804,0.831460674,25.05071521,0.211963589,5.333333333,227.2770175,40.73154614,-74.01018313,9010.804948,1,Windy,7.596783545,Urban
1/15/2024,Dog_5,4895,105,4.58,10.92,2.19,195.8,3,5.9,2235.159817,0.419413919,89.40639269,2.694063927,5.333333333,315.8064516,40.72068573,-73.99626044,1684.641929,1,Rainy,-4.847314635,Urban
1/1/2024,Dog_6,14093,82,4.84,10.15,6.42,563.72,2,4.37,2195.17134,0.476847291,87.80685358,0.680685358,2,940.1601067,40.72290072,-73.95801444,0,0,Sunny,22.2667793,Urban
1/2/2024,Dog_6,4409,85,8.44,11.58,3.98,176.36,10,5.23,1107.788945,0.728842832,44.31155779,1.314070352,6,220.2297702,40.72712703,-74.0153654,4867.909298,1,Rainy,1.685280459,Urban
1/3/2024,Dog_6,15533,107,7.32,8.37,7.44,621.32,9,2.62,2087.768817,0.874551971,83.51075269,0.352150538,7,989.9936265,40.65740447,-74.01530468,7742.551119,1,Cloudy,21.21129639,Rural
1/4/2024,Dog_6,19921,94,5.54,10.89,3.6,796.84,4,4.38,5533.611111,0.5087236,221.3444444,1.216666667,7.666666667,1212.477176,40.68584657,-73.97624988,4569.438328,1,Windy,34.66970469,Rural
1/5/2024,Dog_6,15323,104,5.17,6.57,6.35,612.92,3,3.97,2413.070866,0.786910198,96.52283465,0.62519685,5.333333333,1305.195911,40.66158691,-74.00477821,3615.99554,1,Snowy,-2.093165136,Rural
1/6/2024,Dog_6,11173,75,4.3,13.09,7.27,446.92,7,4.02,1536.863824,0.328495034,61.47455296,0.552957359,4.666666667,642.4956872,40.73631034,-74.02753952,8517.965624,1,Rainy,-1.916879522,Urban
1/7/2024,Dog_6,16403,93,4.56,10.63,2.25,656.12,8,4.41,7290.222222,0.4289746,291.6088889,1.96,6,1079.855168,40.71232981,-74.00475605,3285.827143,1,Cloudy,8.615203707,Suburban
1/8/2024,Dog_6,3853,110,6.79,10.34,4.39,154.12,2,3.88,877.6765376,0.656673114,35.1070615,0.883826879,5.666666667,224.9270286,40.6830898,-74.0359143,4180.711261,1,Snowy,29.65546057,Rural
1/9/2024,Dog_6,12907,101,8.94,8.88,6.57,516.28,7,3.15,1964.535769,1.006756757,78.58143075,0.479452055,5.666666667,724.298541,40.65635584,-74.0323613,2983.902656,1,Snowy,3.621194752,Rural
1/10/2024,Dog_6,5491,96,7.13,12.16,4.73,219.64,5,2.38,1160.887949,0.586348684,46.43551797,0.503171247,4.666666667,284.6552618,40.68109823,-74.00016322,3867.978857,1,Rainy,9.415112797,Rural
1/11/2024,Dog_6,6051,103,7.74,6.68,3.6,242.04,5,4.84,1680.833333,1.158682635,67.23333333,1.344444444,5.666666667,419.6255201,40.68251833,-74.00810746,689.8599215,1,Sunny,-2.259783735,Rural
1/12/2024,Dog_6,3876,91,7.19,10.33,3.32,155.04,3,2.13,1167.46988,0.696030978,46.69879518,0.641566265,4.333333333,221.2328767,40.72296062,-73.95851541,6142.880646,1,Rainy,25.52621165,Urban
1/13/2024,Dog_6,9966,99,8.36,13.81,2.79,398.64,5,4.46,3572.043011,0.605358436,142.8817204,1.598566308,4.333333333,449.526387,40.71375575,-74.01376061,4778.406282,1,Cloudy,11.33225371,Suburban
1/14/2024,Dog_6,16417,89,4.25,9.19,7.14,656.68,2,2.17,2299.29972,0.462459195,91.9719888,0.303921569,3.333333333,1221.502976,40.73872127,-73.99194116,3329.279052,1,Snowy,25.36994932,Urban
1/15/2024,Dog_6,17098,87,8.46,8.01,5.45,683.92,4,4.13,3137.247706,1.056179775,125.4899083,0.757798165,3.666666667,1038.129933,40.69722149,-73.98677357,4629.124336,1,Rainy,31.14431377,Suburban
1/1/2024,Dog_7,11308,82,6.57,11.51,2.46,452.32,6,4.74,4596.747967,0.570807993,183.8699187,1.926829268,6,625.4424779,40.66195942,-74.04869055,0,0,Sunny,4.310525884,Rural
1/2/2024,Dog_7,4081,117,4.94,8,4.3,163.24,1,2.09,949.0697674,0.6175,37.9627907,0.486046512,3.5,315.3786708,40.72132448,-73.98364626,8584.091569,1,Rainy,27.29584121,Urban
1/3/2024,Dog_7,10805,113,8.29,11.28,4.21,432.2,10,1.3,2566.508314,0.734929078,102.6603325,0.308788599,5.666666667,552.1205927,40.7260785,-74.0321964,4135.619437,1,Windy,-2.636244397,Urban
1/4/2024,Dog_7,19244,60,9.73,11.9,3.09,769.76,4,1.65,6227.831715,0.817647059,249.1132686,0.533980583,5,889.690245,40.70612772,-73.95389297,6977.345876,1,Sunny,30.95389553,Rural
1/5/2024,Dog_7,12662,64,7.67,9.36,4.61,506.48,6,4.03,2746.637744,0.819444444,109.8655098,0.874186551,6.666666667,743.5114504,40.72709672,-74.03513373,7248.60081,1,Cloudy,21.0307419,Urban
1/6/2024,Dog_7,4679,110,8.55,6.12,3.99,187.16,9,5.25,1172.681704,1.397058824,46.90726817,1.315789474,6.333333333,318.9502386,40.69937956,-74.00853759,3811.074514,1,Snowy,29.96906897,Suburban
1/7/2024,Dog_7,12435,64,4.56,8.49,4.05,497.4,2,1.22,3070.37037,0.537102473,122.8148148,0.301234568,5.666666667,952.8735632,40.70227328,-74.04146503,2801.337073,1,Rainy,-4.992464018,Suburban
1/8/2024,Dog_7,16245,111,5.05,6.14,6.43,649.8,7,4.67,2526.438569,0.82247557,101.0575428,0.726283048,6,1451.742627,40.6927541,-73.95031257,7776.26627,1,Sunny,1.763242814,Rural
1/9/2024,Dog_7,5479,80,6.84,7.39,3.34,219.16,6,2.71,1640.419162,0.925575101,65.61676647,0.811377246,5,385.0316233,40.65254191,-73.9997805,6118.319321,1,Windy,10.5903755,Rural
1/10/2024,Dog_7,7452,82,4.29,13.59,5.85,298.08,2,3.39,1273.846154,0.315673289,50.95384615,0.579487179,5,416.7785235,40.66078914,-73.9904615,1208.249482,1,Sunny,10.18011613,Rural
1/11/2024,Dog_7,5849,111,6.25,11.01,5.42,233.96,8,5.64,1079.151292,0.567665758,43.16605166,1.040590406,5.333333333,338.8760139,40.65314292,-74.04329235,4547.864913,1,Windy,4.069215317,Rural
1/12/2024,Dog_7,5489,91,9.14,11.27,5.41,219.56,7,2.66,1014.602588,0.811002662,40.58410351,0.49168207,5.666666667,268.9367957,40.71364104,-73.97500395,8857.759629,1,Cloudy,10.26447759,Rural
1/13/2024,Dog_7,7611,75,4.42,11.14,5.98,304.44,5,3.33,1272.742475,0.396768402,50.909699,0.556856187,6.666666667,489.1388175,40.6814356,-74.02900944,5798.678453,1,Snowy,0.15394848,Rural
1/14/2024,Dog_7,19347,91,9.64,10.6,5.29,773.88,5,1.07,3657.277883,0.909433962,146.2911153,0.202268431,5.666666667,955.8794466,40.70085707,-73.96019457,6203.655273,1,Cloudy,11.51044517,Rural
1/15/2024,Dog_7,9833,94,7.86,9.67,7.28,393.32,7,1.41,1350.686813,0.812823164,54.02747253,0.193681319,5.666666667,560.9241301,40.74075665,-74.02948604,7342.047304,1,Rainy,27.09417317,Urban
1/1/2024,Dog_8,5738,102,9.65,9.09,6.05,229.52,9,2.29,948.4297521,1.061606161,37.93719008,0.378512397,9,306.189968,40.67492922,-74.03093123,0,0,Sunny,14.16280252,Rural
1/2/2024,Dog_8,8536,99,9.43,7.57,5.28,341.44,9,1.14,1616.666667,1.245706737,64.66666667,0.215909091,9,502.1176471,40.69103829,-74.04634503,2213.139056,1,Windy,-4.279996442,Suburban
1/3/2024,Dog_8,13636,71,4.6,6.15,6.98,545.44,9,4.16,1953.581662,0.74796748,78.14326648,0.595988539,9,1268.465116,40.72555511,-74.00279331,5313.853955,1,Windy,11.85776166,Urban
1/4/2024,Dog_8,5082,82,4.43,8.55,5.64,203.28,6,3.13,901.0638298,0.518128655,36.04255319,0.554964539,8,391.5254237,40.67287982,-73.99351589,5901.809621,1,Sunny,-3.912999356,Rural
1/5/2024,Dog_8,19281,69,4.14,12.52,3.75,771.24,10,3.74,5141.6,0.330670927,205.664,0.997333333,8.333333333,1157.322929,40.65769799,-74.04342914,4544.887998,1,Sunny,33.64973643,Rural
1/6/2024,Dog_8,11808,66,4.71,11.57,3.24,472.32,6,1.87,3644.444444,0.407087295,145.7777778,0.577160494,7.333333333,725.3071253,40.67897515,-73.97244724,6450.243003,1,Rainy,0.098158377,Rural
1/7/2024,Dog_8,14338,88,4.24,9.34,2.91,573.52,3,2.48,4927.147766,0.453961456,197.0859107,0.852233677,6.333333333,1055.817378,40.66612213,-74.00467112,3075.754629,1,Cloudy,23.30753305,Rural
1/8/2024,Dog_8,14657,96,8.5,12.45,7.4,586.28,1,4.32,1980.675676,0.682730924,79.22702703,0.583783784,3.333333333,699.6181384,40.74296977,-73.99756097,8554.919943,1,Windy,33.91105292,Urban
1/9/2024,Dog_8,19048,94,6.48,8.98,6.26,761.92,7,5.83,3042.811502,0.721603563,121.7124601,0.931309904,3.666666667,1232.082794,40.73081204,-74.00592373,1523.733421,1,Rainy,28.04156207,Urban
1/10/2024,Dog_8,5143,83,9.2,10.49,7.62,205.72,4,1.25,674.9343832,0.877025739,26.99737533,0.164041995,4,261.198578,40.71334038,-74.00992369,1969.414824,1,Cloudy,22.97261501,Suburban
1/11/2024,Dog_8,15043,108,8.08,11.92,5.62,601.72,1,5.45,2676.690391,0.677852349,107.0676157,0.96975089,4,752.15,40.73714606,-73.99403597,2964.82677,1,Rainy,28.57843638,Urban
1/12/2024,Dog_8,5914,100,6.27,10.27,4.84,236.56,8,3.88,1221.900826,0.610516066,48.87603306,0.801652893,4.333333333,357.5574365,40.73036721,-74.03447598,3498.042002,1,Windy,34.27194773,Urban
1/13/2024,Dog_8,11787,107,6.34,8.38,2.36,471.48,6,3.82,4994.491525,0.756563246,199.779661,1.618644068,5,800.7472826,40.66865701,-74.03180719,6856.51193,1,Sunny,19.85377989,Rural
1/14/2024,Dog_8,10186,108,4.32,13.67,6.03,407.44,6,3.5,1689.220564,0.316020483,67.56882255,0.580431177,6.666666667,566.2034464,40.7392559,-73.96382144,9719.803518,1,Sunny,17.36739227,Urban
1/15/2024,Dog_8,7171,68,5.92,13.6,5.49,286.84,2,1.35,1306.193078,0.435294118,52.24772313,0.245901639,4.666666667,367.3668033,40.70393422,-73.95538845,3986.604912,1,Cloudy,20.12952442,Rural
1/1/2024,Dog_9,8486,75,6.69,8.35,7.94,339.44,1,1.45,1068.765743,0.801197605,42.75062972,0.182619647,1,564.2287234,40.73074402,-74.01266907,0,0,Snowy,16.30703547,Urban
1/2/2024,Dog_9,14130,80,8.51,12.33,3.43,565.2,2,4,4119.533528,0.690186537,164.7813411,1.166180758,1.5,678.0230326,40.73960913,-74.02292553,1311.398544,1,Cloudy,20.40356424,Urban
1/3/2024,Dog_9,4062,104,9.59,13.79,5.18,162.48,4,2.7,784.1698842,0.695431472,31.36679537,0.521235521,2.333333333,173.7382378,40.68180035,-73.98560005,7152.556006,1,Snowy,12.99368832,Rural
